ID,Province,Regency,District
382,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,SIANTAR NARUMONDA
383,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,PARMAKSIAN
384,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,LUMBAN JULU
385,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,ULUAN
386,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,AJIBATA
387,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR,BONATUA LUNASI
388,SUMATERA UTARA,KABUPATEN LABUHAN BATU,BILAH HULU
389,SUMATERA UTARA,KABUPATEN LABUHAN BATU,PANGKATAN
390,SUMATERA UTARA,KABUPATEN LABUHAN BATU,BILAH BARAT
391,SUMATERA UTARA,KABUPATEN LABUHAN BATU,BILAH HILIR
392,SUMATERA UTARA,KABUPATEN LABUHAN BATU,PANAI HULU
393,SUMATERA UTARA,KABUPATEN LABUHAN BATU,PANAI TENGAH
394,SUMATERA UTARA,KABUPATEN LABUHAN BATU,PANAI HILIR
395,SUMATERA UTARA,KABUPATEN LABUHAN BATU,RANTAU SELATAN
396,SUMATERA UTARA,KABUPATEN LABUHAN BATU,RANTAU UTARA
397,SUMATERA UTARA,KABUPATEN ASAHAN,BANDAR PASIR MANDOGE
398,SUMATERA UTARA,KABUPATEN ASAHAN,BANDAR PULAU
399,SUMATERA UTARA,KABUPATEN ASAHAN,AEK SONGSONGAN
400,SUMATERA UTARA,KABUPATEN ASAHAN,RAHUNING
401,SUMATERA UTARA,KABUPATEN ASAHAN,PULAU RAKYAT
402,SUMATERA UTARA,KABUPATEN ASAHAN,AEK KUASAN
403,SUMATERA UTARA,KABUPATEN ASAHAN,AEK LEDONG
404,SUMATERA UTARA,KABUPATEN ASAHAN,SEI KEPAYANG
